Periods,R25,R50,R100,R300
0.01,1.10063259,0.44934829,0.14446785,0.01145167
0.02,1.16345031,0.47499448,0.15271324,0.01210527
0.03,1.17986028,0.48169408,0.1548672,0.01227601
0.05,1.32169831,0.53960139,0.17348471,0.01375178
0.075,1.68357958,0.6807889,0.21191936,0.01418213
0.1,2.19887796,0.91512014,0.2944294,0.02086598
0.15,2.70232336,1.1634408,0.38918298,0.02950816
0.2,2.62542101,1.15380707,0.39517467,0.0312143
0.25,2.40326262,1.10030089,0.40348093,0.04018121
0.3,2.04185058,0.97139145,0.38026003,0.04750005
0.4,1.19939281,0.59719531,0.25163084,0.03999562
0.5,0.6474254,0.32753922,0.14055675,0.02306093
0.75,0.19713698,0.10264548,0.04552743,0.00791015
1.0,0.09825646,0.05314328,0.0246228,0.00461461
1.5,0.0365714,0.02072334,0.01034719,0.00247254
2.0,0.01787876,0.01023574,0.00517136,0.00126129
3.0,0.00707068,0.00405844,0.00205648,0.00050415
4.0,0.00377806,0.00216853,0.00109884,0.00026938
5.0,0.00238622,0.00136964,0.00069402,0.00017014
6.0,0.00166981,0.00095844,0.00048566,0.00011906
7.5,0.00107542,0.00061727,0.00031278,7.668e-05
10.0,0.00065883,0.00037816,0.00019162,4.698e-05
