Periods,M5.00,M6.00,M7.00,M8.00
0.01,0.01101034,0.06228213,0.19292444,0.32641427
0.02,0.01163874,0.06583683,0.20393545,0.3450441
0.03,0.0118029,0.06676543,0.20681187,0.3499108
0.05,0.0132218,0.0747917,0.23167396,0.39197566
0.075,0.01612664,0.09130682,0.28320239,0.48004856
0.1,0.0223424,0.12671531,0.39399127,0.67016244
0.15,0.02943466,0.16727482,0.5216051,0.89085973
0.2,0.02982768,0.16971477,0.53014023,0.90768138
0.25,0.03040713,0.17317503,0.54168308,0.92922565
0.3,0.02861966,0.16312402,0.51082463,0.87770101
0.4,0.01819119,0.10665203,0.34166702,0.59740302
0.5,0.00927919,0.05799472,0.19538522,0.35447827
0.75,0.00235233,0.01747357,0.06740777,0.13494944
1.0,0.00103359,0.00888685,0.03847005,0.08381399
1.5,0.00036722,0.00355384,0.01688072,0.03934982
2.0,0.0001614,0.0017101,0.00871957,0.02139435
3.0,5.721e-05,0.00065742,0.00357084,0.00916752
4.0,2.942e-05,0.00034735,0.00192669,0.00502121
5.0,1.812e-05,0.00021774,0.00122483,0.00322415
6.0,1.268e-05,0.00015237,0.0008571,0.00225617
7.5,8.16e-06,9.813e-05,0.00055201,0.00145306
10.0,5e-06,6.012e-05,0.00033817,0.00089018
